26870816_1	newly generated mir-23a destabilizes keap1 mrna by binding to its 3'utr.
26908019_1	c-myc is the targeted gene of mir-494.
26908019_2	c-myc was targeted by mir-494.
17695719_1	it was identified mir-372 permitting proliferation and tumorigenesis of primary human cells that harbor both oncogenic ras and active wild-type p53.
17695719_3	it was provided evidence that mir-372 is potential novel oncogene participating in the development of human testicular germ cell tumors by numbing the p53 pathway, thus allowing tumorigenic growth in the presence of wild-type p53.
19153141_2	here we report that the mirnas in two clusters suppress the cip kip family members of cdk inhibitors , p21 and p27 .
19153141_3	we show that mir-25 targets p57 through the 3'utr.
19153141_4	furthermore, mir-106b and mir-93 control p21 while mir-222 and mir-221 regulate both p27 and p57.
22382496_1	mir-335 directly target the 3'utr utrs of rock1, mapk1 and lrg1.
22382496_2	here, we demonstrate that mir-335 directly target and downregulates genes in the tgf--beta non-canonical pathways, including the rho-associated coiled-coil containing protein and mapk1, resulting in reduced phosphorylation of downstream pathway members.
22382496_3	we have identified the rock1, mapk1 and lrg1 gene transcripts as direct target of mir-335 and have demonstrated that sirna-mediated inhibition of each of these genes significantly reduces the migratory and invasive potential of neuroblastoma cells in vitro.
23221562_1	loss of mir-122 expression in patients with hepatitis b enhances hepatitis b virus replication through cyclin g1-modulated p53 activity.
26503504_1	fascin homologue 1 was verified as a direct target of mir-24, and silencing fscn1 expression with small interfering rna inhibited npc cell proliferation and invasion .
26503504_3	furthermore, fscn1 was verified as a direct target of mir-24, and involved in npc cell proliferation and invasion.
23087254_3	the novel mir-7515 decreases the proliferation and migration of human lung cancer cells by targeting c-met.
23087254_4	these results suggest that mir-7515 plays an important role in the proliferation and migration of lung cancer cells through c-met regulation.
23087254_5	this result suggests that c-met was an authentic target of mir-7515.
23087254_6	the anti-7515 inhibitor did not affect the c-met levels through mir-7515 inhibition.
23087254_7	taken together, these results suggest that mir-7515 directly regulated c-met in a549 cells.
23087254_8	taken together, these results suggest that mir-7515 led to decreased cell-cycle-related protein in a549 cells through c-met targeting.
23087254_9	these data suggest that mir-7515 negatively regulates the motility and migration of a549 cells and that this effect may be at least partly attributed to the targeting of c-met.
26586569_1	further studies revealed that overexpression of mir-205 resulting in commd1 downregulation at both the mrna and protein levels in sas, h460, and d121 cells .
26586569_2	taken together, these results suggest that commd1 expression is downregulated by mir-205, which is upregulated by nf-kappab activation during enrichment for stemness.
26586569_3	in summary, this study has shown that during the enrichment of stemness in hnscc cells and nsclc cells, commd1 is downregulated by mir-205, while mir-205 is upregulated upon nf-kappab activation.
26656045_1	mmp9 was identified as a target of mir-133a.
26656045_2	knockdown of mmp9 induced effects on np cells similar to those induced by mir-133a.
26656045_3	taken together, the results demonstrated that mir-133a directly recognizes the 3'utr of mmp9 transcripts and regulates its expression at the post-transcriptional level.
22260523_1	mirna transfection and luciferase assay confirmed that bcl-2 was regulated by mir-16 and mir-143, cyclind1 was modulated by mir-16.
22260523_2	importantly, survivin was found to be targeted by mir-16, mir-143, mir-203.
22260523_4	as expected, mir-16 significantly suppressed the luciferase activity of bcl-2, cyclin d1, and survivin whereas mir-143 moderately inhibited luciferase activity of bcl-2 and survivin.
22260523_6	the data indicated that mir-143, mir-16 and mir-203 not only inhibited endogenous expression of bcl-2, cyclind1 and survivin, but also disturbed e2-induced upregulation of cyclin d1, an important cell cycle regulator, thereby, accounting for the impairment of cell proliferation.
26776318_1	collectively, these results indicate that mir-26a targets smad1 signaling in diabetic dermal wounds and that mir-26a neutralization restores ec growth and angiogenic function.
21321380_1	here we determined that mir-101 is down-regulated in gbm, resulting in overexpression of the mir-101 targetpcg protein ezh2, a histone methyltransferase affecting gene expression profiles in an epigenetic manner.
21321380_2	figure 2: mir-101 is down-regulated in gbm and target ezh2.
21321380_3	in conclusion, our results indicate that ezh2 has a versatile pro-tumoral function in gbm and that its overexpression is at least partly due to decreased mir-101 expression.
25578496_1	moreover, mir-145 suppressed smad3 by directly binding to the 3'-untranslated region of smad3.
25578496_2	these results show that smad3 is negatively regulated by mir-145 and a direct target of mir-145 in npc cells.
25578496_3	therefore, smad3 is a major target of mir-145 and involved in npc cell migration and invasion.
25578496_4	these data indicate that mir-145 affects metastasis by targeting smad3 in npc cells and tissues.
18701644_1	taken together, results above suggest that mir-16 family triggers an accumulation of cells in g0 g1 by regulating multiple down-stream efectors including ccnd1, ccnd3, ccne1 and cdk6 .
18701644_2	western blot analysis revealed that mir-16 and mir-424 markedly reduced ccnd1 protein levels compared to luc-sirna and mock transfected cells .
18701644_3	all the results above support the notion that mir-16 and mir-424 can regulate the expression of ccnd1 directly in vivo.
18701644_4	as evident from figure 4, mir-16 and mir-424 markedly reduced ccnd3, ccne1 and cdk6 protein levels compared with mock transfected cells . in contrast, we observed no decrease in cdc25a protein .
18701644_5	the results above indicated that mir-16 family regulated the expressions of ccnd3, ccne1 and cdk6.
18701644_6	the results of western blot displayed that mir-16 repressed the expression of ccnd1, ccnd3, ccne1 and cdk6 simultaneously, and each sirna inhibited its target respectively .
26885612_1	we predicted and experimentally validated mir-31 as a direct regulator of bap1. in conclusion, our results demonstrate that mir-31 directly recognizes and binds to the 3'utr of the bap1 transcript and inhibits bap1 translation.
26885612_2	taken together, this study not only revealed a critical role for mir-31 as an oncogenic mirna in lung carcinogenesis but also explored the molecular mechanisms by which mir-31 contributed to lung cancer progression and identified bap1 as a direct target gene of mir-31.
23104180_1	western blotting combined with the luciferase reporter assay demonstrated that vegf-a was a direct target of mir-15a 16.
23104180_2	mir-15a and mir-16 affect the angiogenesis of multiple myeloma by targeting vegf.
23104180_3	vegf-a is a target of post-transcriptional repression by mir-15a and mir-16.
23104180_4	sequence alignment of human mir-15a and mir-16 with 3'utr of vegf-a.
23104180_5	the seed sequence of mir-15a and mir-16 matches 3'utr of vegf-a .
23104180_6	these data indicate an inverse correlation between the expression levels of mir-15a and mir-16 and the vegf-a protein levels.
23104180_7	the results indicated that vegf-a is an actual target of mir-15a and mir-16 in mm cells.
23104180_8	the data showed comparable steady-state mrna levels of vegf-a , providing evidence that mir-15a and mir-16 repressed vegf-a expression at the translational level.
23104180_9	these results further demonstrate that vegf-a is a major target of mir-15a 16 and the antiangiogenic effect of mir-15a is mainly through inhibition of vegf-a expression.
26464628_1	furthermore, transfection of mir-126 mimics decreased cadm1 expression in sgc-7901 cells at the protein levels , suggesting that cadm1 expression could be inhibited by mir-126.
26464628_2	together, these results suggested that cadm1 is a novel target of mir-126.
20878132_1	additionally, bcl-2, an important antiapoptotic molecule, was identified to be a novel direct target of mir-143, and the proapoptotic function of mir-143 is further suggested to be mainly through the targeting of bcl-2 expression.
20878132_2	these results demonstrate that endogenous bcl-2 expression is directly targeted and regulated by mir-143 and suggest that mir-143 may exert its proapoptotic function via inhibiting bcl-2 expression.
20878132_3	these results further confirm that endogenous bcl-2 is regulated by mir-143 expression.
20878132_4	since the bcl-2 stably overexpressed mg63 cells transcribed bcl-2 mrna without its 3'utr, mir-143 should no longer targetbcl-2 expression in these cells.
20878132_6	5b, mir-143 induced cell apoptosis was significantly decreased by bcl-2 stable overexpression.
20878132_7	these results confirm that the proapoptotic function of mir-143 is mediated by inhibiting its target the bcl-2.
19264608_1	demonstration of the conserved binding sites for these mirnas in the chicken p27 3'-untranslated region sequence and the repression of luciferase activity of reporter constructs indicated that mir-221 and mir-222 targetp27 in these cells.
19264608_2	in fact, it appears that this region is evolutionarily conserved across a diverse range of species, suggesting that the interaction between mir-221 and mir-222 with the 3'utr may be a critical aspect in the regulation of p27 kip1 expression .
19490101_1	to investigate whether mir-23b targeted upa and c-met mrnas for degradation, a semiquantitative rt-pcr evaluation was carried out on rna isolated from control and transfected cells.
19490101_2	the data showed comparable steady-state mrna levels of upa and c-met , providing evidence that mir-23b in skhep1c3 cells can lead to decreased upa and c-met protein expression without affecting the amounts of their mrna.
19490101_3	in hela cells, the c-met 3'utr was a targetthat was responsive to mir-23b , indicating that skhep1c3 rather than hela cells produce different molecules that may interact with the c-met 3'utr.
23284895_1	luciferase activities of report vectors containing the 39utr of porcine bmp2 or mapk1 were downregulated by mir-378, which suggested that mir-378 probably regulated myogenesis though the regulation of these two genes.
23284895_2	the results of luciferase activities suggested that mir-378 could target the wild type 3' utrs of porcine bmp2 or mapk1, but not the mutation ones in which the binging sites were deleted.
23284895_3	these results suggested that mir-378 directly targeted the bmp2 and mapk1 3'utr, and might regulate myogenesis in the manner of acceleration of the differentiation and inhibition of proliferation .
23284895_4	micrornas may regulate multi-targets simultaneously, which was in accordance with our result that mir-378 could downregulate both bmp2 and mapk1 by recognizing their 3'utr.
21502362_2	the mrnas of sirt1 and sp1 contain putative binding sites for mir-22 in their 3'-utrs, and each site is broadly conservative among mammals.
21502362_3	cdk6 mrna contains three mir-22 binding sites in the 3'utr, whereas it is different in conservation for each site .
21502362_4	these results provide experimental evidence that mir-22 can directly repress translation initiation of sirt1, sp1, and cdk6.
21502362_5	these findings indicate that mir-22 may affect the prb pathway of cellular senescence by targeting sirt1 and cdk6.
21502362_6	collectively, these findings suggest that sirt1, sp1, and cdk6 play an important role in mir-22-induced senescence.
17877811_1	we present evidence for the down-regulation of c-myc, one of the most potent and frequently deregulated oncogenes, by let-7 mirna, via the predicted bindsg site in the 3'utr, and verify the suppression of bcl-2 by mir16.
17877811_2	the sensor construct carrying the c-myc potential single bindsg site for let-7c appeared to be consistently well down-regulated by let-7 microrna.
17877811_9	to confirm further that cmyc oncogene is a real targetfor let-7c we performed next transfections of hela cells, using anti-let-7c inhibitor in order to block the predicted interaction of let-7c with our sensor constructs.
25907832_1	two binding sites for mir-494-3p at the 3'utr of pten mrna were identified with the rnahyb online program .
20299489_1	reporter gene assays identified mitogen-activated protein kinase kinase 1 as a direct target of mir-34a and c-fos as a direct target of mir-221 222.
22116552_1	we demonstrated that the protein phosphatase phlpp2, an important negative regulator of the pi3k akt pathway, was a direct target of mir-17-92 mirnas, in addition to pten and bim.overexpression of mir-17-92 activated the pi3k akt pathway and inhibited chemotherapy-induced apoptosis in mcl cell lines.
23762558_1	these results suggested that mir-149 inhibits foxm1 expression.
23762558_2	these data implied that mir-149 might inhibit emt by suppressing foxm1 expression in nsclc cells.
23762558_4	mir-149 negatively regulated emt by suppressing foxm1 expression.
23762558_7	our study found that overexpression of mir-149 or knockdown of foxm1 by shrna suppressed emt in nsclc cells, and mir-149 inhibited foxm1 expression.
23856509_1	real-time pcr analysis in colonic tissues from control and il-10 ko mice reveals a significant decrease of mir-124 and a significant increase of stat3 mrna levels in il-10 ko mice, relative to wt .
23856509_2	our analyses suggest that the mir-124 stat3 pathway is deregulated in both dss and il10-ko mouse models of colitis, consistent with our findings in human and in vitro studies.
23328512_1	mir-135b promoted gastric cancer cell proliferation, inhibited its apoptosis and directly regulated the expression of apc in gastric cancer cell.
22996586_1	mir-10a target the 3'utr of the epha4 transcript and down-regulates its expression.
22996586_2	the eph tyrosine kinase receptor, epha4, was identified as the direct and functional targetgene of mir-10a.
22996586_3	our findings highlight the importance of mir-10a in regulating the metastatic properties of hcc by directly targeting epha4 and may provide new insights into the pathogenesis of hcc. in contrast, the reporter vector carrying the mutated epha4 3'utr could restore egfp activity when this construct was cotransfected with mir-10a , indicating that mir-10a might suppress gene expression through the mir-10a-bindsg sequence in the 3'utr of epha4.
22996586_4	taken together, our results suggested that mir-10a exerted its function by way of regulation of epha4 expression.
22996586_6	our research thus provides new insight into the mechanism of the pathogenesis of hcc and suggests that mir-10a and epha4 play an important role in cancerogenesis.
21460242_1	foxp1 was a direct target of mir-34a in a 3'-untranslated region -dependent fashion.
21460242_2	protein levels of foxp1 were also strongly reduced on the introduction of mir-34a into u2932 cells . in summary, our results show that foxp1 is a target of mir-34a and .
21851624_1	furthermore, we discovered that theexpression of bmi-1 was suppressed by mir-194 via direct binding to the bmi-13'-untranslated region 3'utr.
21851624_2	mir-194 mrna expression was significantly lower in high bmi-1 expressing hec-50b-hi cells , showing that mir-194 level inversely correlated with bmi-1 expression.
21851624_3	these results collectively suggested a direct and specific inhibition of mir-194 on bmi-1 3'utr in ec cells.
21851624_4	these results indicated that reexpression of mir-194 could reverse the emt phenotype, and dramatically decreased cell invasion in bmi-1 expressing ec cells.
25231273_1	expression levels of mir-29b, transforming growth factor --beta, alpha-smooth muscle actin and collagen i analyzed by rt-qpcr, western blot analysis and immunofluorescence staining following downregulation of mir-29b.
25231273_2	the results of mir-29b rt-qpcr revealed that the expression level of mir-29b was significantly lower in the downregulation group than in the negative control and blank control group , while there was no statistically significant difference between the latter 2 groups.
26475020_1	mir-132 interacts with the ago2 3'utr.
26475020_2	mir-132 over-expression suppresses ago2 expression
23188821_1	and ccnj, a protein controlling cell mitosis, is down-regulated by mir-98 via targeting 3'-untranslated region of ccnj.
23188821_3	e, expression of ccnj was suppressed by mir-98 through 3'utr.
21368858_1	to further determine whether the three remaining mirs were regulating ezh2, qrt-pcr was utilized to measure ezh2 mrna expression after transfection with mir-26a, 98, and 101.
21368858_3	as shown in figure 5e, overexpression of mir-26a or mir-98 reduced ezh2 protein expression, corroborating the biological effects of these two mirs in regulating ezh2 in npc.
21368858_4	mutating the seed region for mir-26a and mir-98 binding in the pmir-report-ezh2 utr vector completely abrogated its regulatory activity , thereby confirming that mir-26a and mir-98 directly interacted with the 3'utr of ezh2.
22312705_1	mir-122 can specifically down-regulate the expression of bcl-2 and bcl-xl, and increase p53 activity in bel-7402 5-fu cells, which increased cells spontaneous apoptosis and sensitize cells to 5-fu.
21887328_1	by reporter luciferase assay, rt-pcr and western blot analysis, we also show that both mir-150 and mir-125b target p53.
21887328_2	taken together, these results confirmed the earlier observation that p53 is one of the targets of mir-125b .
21887328_3	thus, the increased expression level of endogenous p53 in sthdhq111 hdhq111 cells could be due to decreased expression of endogenous mir-125b.
21887328_5	moreover, over expression of pre-mir-150 decreased the endogenous expression of p53 in sthdhq111 hdhq111 cells as shown by western blot analysis .
21887328_6	these results indicate that p53 could be targeted by mir-150 as well.
21887328_7	thus, decreased expressions of mir-125b and mir-150 in sthdhq111 hdhq111 cells could result in increased expression of p53.
21887328_8	our investigation using hd cell lines provides important observations that mir-146a is regulated by p53 and rela nfkb and increased p53 could be mediated through down regulation of mir-125b and mir-150.
26646104_1	taken together, we showed for the first time that mir-23b acts as a suppressor of emt in diabetic nephropathy through repressing pi3k-akt signalling pathway activation by targeting hmga2, which maybe a potential therapeutic target for diabetes-induced renal dysfunction.
20940405_1	interestingly, all mir-17 ~92 mimics tested decreased smad4 mrna levels, but this downregulation was most profound with mir-18a .
23389544_1	taken together, these experiments define hnf1b as a target of mir-802-dependent post-transcriptional silencing in liver in vitro and in vivo.
26338969_1	these results provided further evidence that slc30a1, serpinb2 and akr1c1 are respective bona fide target genes of mir-182 or mir-185 in human cells.
21962230_1	our data indicated that mir-185 directly interacted with the dnmt1 and the lower levels of mir-185 expression in glioma may be one of the reasons for the abnormal expression of dnmt1, which leads to aberrant dna methylation, contributing to the development of human glioma.
21962230_2	collectively, these data indicate that the down-regulated mir-185 expression is related to high levels of dnmt1 expression, which may be associated the development of glioma and support the notion that mir-185 directly target dmnt1 mrna, thereby regulating the expression of dnmt1 in glioma cells.
21962230_3	these data indicated that mir-185 directly interacted with the dnmt1 and the lower levels of mir-185 expression promoted the abnormal expression of dnmt1 in glioma.
23688833_1	mir-210 suppresses bnip3 to protect against the apoptosis of neural progenitor cells.the
23688833_2	over-expression of mir-210 decreased apoptosis in npcs, and the inhibition of mir-210 expression remarkably increased the number of tunel-positive npcs by 30% in response to hypoxia.
26653554_1	the correlation between mir-1290 and nfix expression was further examined by evaluating nfix expression in the human escc cell lines eca109 and kyse-410 after the overexpression and knockdown of mir-1290.
26653554_2	the overexpression of mir-1290 decreased the level of nfix mrna significantly and the knockdownof mir-1290 increased the level ofnfixmrna,inversely .theseresultsdemonstrated
26653554_3	that mir-1290 regulates nfix expression by decreasing the stability of mrna.
26653554_4	this finding suggested that the putative mirna binding sites of nfix was strongly responsible for this mirna-mrna interaction.
23124077_1	the direct target of mir-101, dna methyltransferase 3a , was identified in silico and validated using a 3'utr reporter assay.
23124077_2	hbx -mediated mir-101 down-regulation and dnmt3a up-regulation supported the enhanced dna methylation of several tumor-suppressor genes in hbx-expressing cells.
26529121_1	further studies involving loss and gain of function confirmed that ncc specifiers like sox- 1 and sox- 9 are direct targets of mir- 200 and mir- 145 respectively and that they are essentially modulated by metformin.
26529121_2	taken together, our results confirm that metformin modulates mir- 200 and mir- 145 which directly target sox- 1 and sox- 9, the chief ncc determinants.
26529121_3	we also established for the first time that mir- 145 targets sox- 9 during nc development; and misregulation of sox- 9 was also witnessed in zebrafish.
25872451_1	smad7 and hoxd10 were downregulated in both sw480 and ht29 cells by mir-1269a .
25872451_2	western blot confirmed that mir-1269a suppresses smad 7 and hoxd10 protein levels .
25872451_3	therefore, mir-1269a directly targets smad7 and hoxd10 through the identified binding sites in their 3'utr.
21423181_1	this coincided with sequestration of mir-21 in a slower-migrating heteroduplex with antimir-21, de-repression of hela mrnas with canonical mir-21 seed match sites and upregulation of the pdcd4 target protein31 .
25982393_1	more recently, we have reported that microrna-296-5p was identified to play a tumor suppressive role by targeting the 3'utr of pin1 mrna of prostate cancer . in addition, mir-296-5p was recently found to be progres sively lost during tumor progression in various cancers, including crc .
25982393_2	to understand the correlation between mir-296-5p and pin1 in crc, we first analyzed the expression levels of pin1 protein and mir-296-5p in crc cell lines by western blot and quantitative rt-pcr analysis.
25982393_5	these results are consistent with our previous study showing that mir-296-5p playing a tumor-suppressive role by targeting pin1.
26758433_1	the correlation between mir-143 and fam83f expressions was further examined by evaluating fam83f expression in the human escc cell lines after the overexpression and knockdown of mir-143.
26758433_2	this finding suggests that the putative mirna binding sites of fam83f were responsible for this mirna-mrna interaction.
26758433_3	these results demonstrated that mir-143 regulates fam83f expression by decreasing the stability of mrna.
22474262_1	spot42, ryhb, and rybb regulate sdhc expressionpost-transcriptionally.
25135862_3	we found that protein levels of smarca4 and mst1 decreased significantly in cells transfected with mir-199a-5p mimic compared to cells transfected with scramble .
25135862_4	western blot showed that mst1 levels are positively correlated with the increasing concentration of mir-199a-5p inhibitor, further indicating that mst1 is a target of mir-199a-5p.
25135862_5	our western blots and luciferase reporter assays confirmed that smarca4 and mst1 are directly regulated by mir-199a-5p at the posttranscriptional level.
15466019_1	micc could potentially form base pairs with the ompc mrna, suggesting that it may act as an antisense regulator.
15466019_2	since the micc and ompc genes are located at different genetic loci and are produced from two separate transcriptional units,the situation strongly mimics the micf regulation of ompf.
15466019_4	these similarities encouraged us to test the hypothesis that micc regulates ompc expression.
22048026_1	among many mirnas that are predicted to target htt, we showed using various experimental approaches that mir-214, mir-150, mir-146a and mir-125b could target both human htt and mouse htt.
22048026_6	taking together, we showed that mir-214, mir-150, mir-146a and mir-125b targeted htt.
26797246_1	to investigate if crtc1 is a target of mir-212 mir-132 in insulin-secreting cells we overexpressed the micrornas and measured the expression of crtc1.
26380016_1	reporter assays confirmed the direct binding and repression of mir-23 to the 3'utr of vegf mrna.
26380016_2	mir-23 regulates epc function via targeting vegf.
26380016_3	generally speaking, our research disclosed mir-23 suppresses epc activities in cad patients via targeting vegf.
25281924_5	using a bioinformatics method, we further show that cdk9 is a direct target of mir-874 and that its protein level is negatively regulated by mir-874.
25281924_6	therefore, the data reported in this manuscript demonstrate that mir-874 is an important regulator in breast cancer and imply that the mir-874 cdk9 axis has potential as a therapeutic target for breast cancer.
22846677_1	because premir-203 reduced plaa expression during sp exposure, these data confirm the interaction between mir-203 and plaa mrna.
22846677_2	mir-203 may regulate expression of the novel nociceptive mediator plaa after incision.
22846677_3	expression of plaa after sp exposure in rek cell line identifying plaa as a direct target of mir-203.
22327366_1	mock- or klf2-transduced huvecs were co-cultured with untreated smcs for 24 h and the expression levels of elk1 , klf4 and camk2d , cfl1, phactr4 and ssh2 and mmp3 were analysed by real-time pcr .
22327366_2	mouse endothelial cells were isolated from wild-type or mir-143 145-deficient mice and were incubated with smcs.
22108519_1	mature mir-143 and mir-145 are coordinately expressed, and both directly targetthe pai-1 3'utr, leading to reduced pai-1 mrna and protein levels.
22108519_2	thus, the direct comparison of mirna and mrna levels in tissue samples, and to some degree in cell lines, confirm that expression of pai-1 and mir-143/-145 are mutually exclusive.
22108519_3	however, downregulation of pai-1 expression by mir-143 and -145 was also confirmed in other cancer cell lines, including h1299 , hela and u251 , thereby demonstrating that mir-143/-145-directed repression of pai-1 is not restricted to bladder cancer .
22108519_4	plasminogen activator inhibitor-1 mrna was significantly enriched upon mir-143 and -145 transfection compared with negative controls, suggesting direct interaction between mir-143/-145, risc complexes and pai-1 mrna .
20427544_1	therefore, mir-155 target smad1 and smad5 through binding to their respective predicted mir-155 target sites in their 3'-utrs.
20427544_2	to determine whether endogenous smad1, smad5, hivep2, cebpb, or myo10 genes are regulated by mir-155, quantitative rt-pcr analysis was carried out in retrovirally transduced mutu i cells.
20427544_3	expression levels of smad1, smad5, hivep2, cebpb, and myo10 were found to be lower in cells transduced with the mir-155 retrovirus .
20427544_4	further, smad1 and smad5 protein levels were lower in mir-155-transduced mutu i cells .
26206264_1	ppara and e-cadherin as direct downstream targets of mir-10 in hcc.
19578724_1	in this study, we confirmed that bone morphogenetic protein receptor ii is a direct target of mir-21, and also showed that the protein level of bmprii correlates inversely with the amount of mir-21 in pc3 and lncap cells.
19578724_2	these data suggest that mir-21 could regulate the expression of bmprii by binding to not only the two downstream conserved binding sites but also the two upstream predicted binding sites.
19578724_3	taken together, these results confirmed that bmprii is regulated by mir-21.
26595523_1	further studies identify metadherin as a direct target gene of mir-630.
26595523_2	herein, we report that mir-630 is significantly suppressed in human breast cancer specimens and cancer cell lines, and the mirna suppresses breast cancer progression by targeting metadherin .
26595523_3	overall, these results suggested mtdh was the potential functional target gene of mir-630.
21656380_1	our findings showed that, when either of two binding sites in the 3'utr of the e2f1 gene was mutated, the regulation of e2f1 by mir-106a was completely eliminated.
21656380_2	taken together, these data confirmed that e2f1 is a direct target of mir-106a.
21656380_3	our results showed e2f1 induction can rescue the tumorsuppressive effects of mir-106a overexpression , indicating that e2f1 is a functional target of mir-106a.
21656380_4	therefore, the tumor-suppressive effects of mir-106a are regulated through the regulation of e2f1.
21656380_5	these indicated that mir-106a controls e2f1 levels by translational suppression rather than by mrna degradation.
21656380_6	therefore, it supported our hypothesis that mir-106a regulates p53 expression via the inhibition of e2f1.
21355095_1	kip1 ubiquitination-promoting complex 1, suppressor of cytokine signaling 1, and cd115 were functional target of mir-155.
21355095_2	consistent with this, silencing of mir-155 in mdcs resulted in increased socs-1 expression at protein level , whereas forced expression of mir-155 led to reduced socs-1 expression in imdcs . in addition, kpc1 expression was reduced along with mir-155 up-regulation during dc maturation .
21355095_3	taken together, these results demonstrate that mir-155 indirectly regulates p27kip1 expression by targeting kpc1.
21355095_4	these results suggest that cd115 is a direct target of mir-155.
25817558_1	while mir-221 was identified as a suppressor of hdac6 by ectopic expression of mirna mimics in dicer knockdown cells, targeted-disruption of mir-221 repressed cancer cell growth through derepressing hdac6 expression.
25817558_2	from the comprehensive mirna expression analysis of hcc tissues paired with adjacent non-cancerous hepatic tissues, mir-221 was identified to repress endogenous hdac6 expression in hcc cells.
25817558_3	taken together, the results show that jnk stimulated by hgf led to c-jun activation and the transcriptional activation of mir-221, which elevated mir-221 expression playing a critical role in suppressing hdac6 in hcc cells.
26062664_1	snai1 is identified as a functional target of mir-153 and is downregulated in pdac specimens.
26062664_2	to further demonstrate that snai1 was directly targeted by mir-153 in pdac cells.
26062664_3	thus, our data strongly suggested that snai1 is a target of mir-153 in pdac.
21880154_1	remarkably, we found that the tumor suppressor bak1 had the most reduced activity, which suggested that bak1 was likely to be an important target regulated by mir-125b in leukemia.
21880154_2	this finding demonstrates that bak1 is a target of mir-125b in leukemic cells and that the putative mir-125b binding site is critical for mir-125b regulation of bak1 expression.
21880154_3	these results strongly suggest that bak1 is a target of mir-125b in pediatric apl.
21880154_4	furthermore, we inferred that mir-125b directly regulates bak1 expression, thereby modulating the susceptibility of leukemic cells to apoptosis.
22684007_2	these findings suggest that down-regulation of mir-376a may contribute to the development of hcc by targeting p85alpha.
22684007_4	as shown in fig.3e, the mir-376a mimics repressed the luciferase activity of the wild type plasmid but not the mutant plasmid , indicating that pik3r1 is a direct target of mir-376a.
22684007_5	taken together, these observations suggested that decreased expression of mir-376a triggered up-regulation of pik3r1 partially in hcc.
20683643_1	in hela cells, mir-200b directly reduced the expression of rnd3 at the mrna and protein levels, which thereby promoted expression of the downstream protein cyclin d1 and increased s-phase entry.
20683643_2	luciferase assays revealed that overexpression of mir-200b could significantly reduce luciferase activity from the reporter vector containing the 3'utr of rnd3.
20683643_3	our results suggest that mir-200b regulates rnd3 expression by targeting both putative targetsites 1 and 2 .
20683643_4	we conclude that mir 200b can directly regulate the expression of rnd3 in vivo .
20683643_5	our results suggest that mir-200b regulates ccnd1 expression and promotes cell cycle progression by targeting rnd3 .
23447608_1	figure 5. mir-195 downregulates the expression of app and bace1 proteins.
23447608_2	figure 4. app and bace1 are potential targets of mir-195.
26054690_1	mir-217 targeted wnt5a in os cells.
26054690_2	mir-217 suppressed the transcription activity of the wnt5a gene by targeting the binding site in the 3'utr of wnt5a mrna. .
26054690_3	mir-217 suppressed cell progression by targeting wnt5a.
25474084_1	the present study explored the role and mechanism of mir-222 in increasing the expression of p53 up-regulated modulator of apoptosis and enhancing the sensitivity of oscc to cisplatin
25355277_1	pre-treatment with isdn reversed the decrease in mir-130b expression induced by hg stimulation , but had no apparent effect on mir-130a expression .
25355277_2	furthermore, inhibition of the erk foxm1 pathway by either pd98059 or foxm1 sirna substantially abolished the recovery of mir-130b expression following pre-treatment with isdn.
25355277_3	erk phosphorylation and foxm1 activity were examined following the downregulation of mir-130b, indicating that there were no signficant changes between the control group and the antagomir group, both in phosphorylated erk and in foxm1 expression.mirna-130b
22899845_1	here, we have identified a novel heart-andmuscle-specific microrna, mir-92b, which is activated by mef2 and subsequently downregulates mef2 through binding to its 3'utr, forming a negative regulatory circuit that fine-tunes the level of mef2.
22899845_2	mir-92b negatively regulates mef2 levels in vivo.
22899845_3	mir-92b negatively regulates mef2 through binding to conserved mir-92b targeting sites on mef2 3'utr.
22899845_4	mutation of the mir-92b targeting sites in the mef2 3'utr largely abolished this inhibition , suggesting that mir-92b inhibits mef2 expression through binding to the two conserved mir-92b targeting sites.
22899845_5	these results indicate that the mir-92b sponge could efficiently compete with the endogenous mir-92b targeting sites, including the ones in mef2 3'utr, and subsequently release the inhibition of mef2 expression caused by mir-92b.
22899845_6	these rescue experiments suggest that one essential role of mir-92b is to regulate mef2 levels.
22194984_2	luciferase assays and western blot analysis demonstrated that the mir-200b 200c 429 family recognized the mre in the 3'utr of ap-2alpha gene and negatively regulated the expression of endogenous ap-2alpha proteins.
26687115_1	amongst these, fzd3, fzd5, dvl3, frat2, and ck2a2 were validated as direct targets of the mir-29 family.
26651881_1	we also discovered that the effects of mir-21 on hasm cells depended on pten expression.
26651881_2	overexpression of mir-21 is directly related to the decrease of pten expression in hasm cells.
26651881_3	mir-21 significantly downregulated the expression of pten in the hasm cells and the low expression of pten depended on the level of mir-21.
25094038_1	mir-106b reduces tgf--beta type ii receptor expression during emt.
25094038_3	4c and d, tgf--beta1 induced expression of tgf--beta type ii receptorin hk-2 cells undergoing emt, whereas enhancement of mir-106b expression inhibited the expression of tgf--beta type ii receptor .
25094038_4	these data suggest that the inhibitory effects of the mir-106b-25 cluster in tgf--beta1-induced emt of hk-2 cells may be due to the reduced activity of tgf--beta signaling and the associated decrease in expression of tgf--beta type ii receptor.
22450326_1	we further identified that mir-25 directly targeted cdh1 3'-untranslated region and repressed the expression of cdh1.
